symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-23 04:00:00+00:00,2020-11-23 20:00:00+00:00,0.025,-0.9999999999999992,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2020-11-23 16:00:00+00:00,2020-11-23 20:00:00+00:00,0.2,-1.0000000000000124,0.2,UNCHANGED,0.2,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-24 04:00:00+00:00,2020-11-24 20:00:00+00:00,0.025,0.431092393894236,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-11-24 08:00:00+00:00,2020-11-24 20:00:00+00:00,0.55,0.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-12-01 08:00:00+00:00,2020-12-03 12:00:00+00:00,0.55,2.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-12-08 08:00:00+00:00,2020-12-09 16:00:00+00:00,0.55,2.0,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-12-09 08:00:00+00:00,2020-12-09 20:00:00+00:00,0.55,0.1536664347437834,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2020-12-10 04:00:00+00:00,2020-12-10 20:00:00+00:00,0.025,2.0,0.25,AUDUSD_04UTC_MICRO,0.05,AUDUSD_OTHER_MICRO
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2020-12-14 16:00:00+00:00,2020-12-14 20:00:00+00:00,0.15,-1.0000000000000242,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2020-12-16 08:00:00+00:00,2020-12-17 00:00:00+00:00,0.05,-1.0000000000000113,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
