symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,reason
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-28 00:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,1.069701006522916,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,1,2013-11-28 12:00:00+00:00,2013-12-04 12:00:00+00:00,0.4,0.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-29 04:00:00+00:00,2013-11-29 12:00:00+00:00,0.25,-1.0000000000000075,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 16:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,0.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 20:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,-1.000000000000007,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-03 08:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,-0.9999999999999944,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-13 00:00:00+00:00,2013-12-13 16:00:00+00:00,0.25,-1.0,guard:new_cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-19 00:00:00+00:00,2013-12-27 12:00:00+00:00,0.25,0.9394774853867938,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-26 12:00:00+00:00,2013-12-31 04:00:00+00:00,0.25,0.38998681749217246,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-27 20:00:00+00:00,2014-01-02 16:00:00+00:00,0.25,-0.99999999999999,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-30 04:00:00+00:00,2013-12-30 20:00:00+00:00,0.25,-1.000000000000004,guard:cooldown
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2014-01-10 16:00:00+00:00,2014-01-13 12:00:00+00:00,0.5,-0.9999999999999918,symbol_cap
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2014-03-11 08:00:00+00:00,2014-03-11 20:00:00+00:00,0.25,-1.0000000000000209,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-03-14 16:00:00+00:00,2014-03-17 12:00:00+00:00,0.25,-1.0000000000000042,guard:new_cooldown
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2014-03-17 08:00:00+00:00,2014-03-18 16:00:00+00:00,0.25,2.0,symbol_cap
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2014-03-24 08:00:00+00:00,2014-03-25 20:00:00+00:00,0.25,2.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-04-02 04:00:00+00:00,2014-04-04 20:00:00+00:00,0.25,-0.9999999999999996,guard:cooldown
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2014-04-08 16:00:00+00:00,2014-04-11 16:00:00+00:00,0.4,0.07196053781388807,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,1,2014-05-01 12:00:00+00:00,2014-05-02 16:00:00+00:00,0.4,-0.9999999999999676,symbol_cap
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2014-05-06 16:00:00+00:00,2014-05-08 00:00:00+00:00,0.5,-1.000000000000024,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-05-06 16:00:00+00:00,2014-05-07 16:00:00+00:00,0.25,-1.0000000000000027,guard:probe_in_flight
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-05-06 20:00:00+00:00,2014-05-07 16:00:00+00:00,0.25,-0.9999999999999959,guard:probe_in_flight
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-05-07 08:00:00+00:00,2014-05-07 16:00:00+00:00,0.25,-0.9999999999999918,guard:probe_in_flight
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-05-19 12:00:00+00:00,2014-05-20 00:00:00+00:00,0.25,-1.0000000000000207,guard:new_cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-05-21 12:00:00+00:00,2014-05-21 16:00:00+00:00,0.25,-1.0000000000000102,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-06-12 20:00:00+00:00,2014-06-13 08:00:00+00:00,0.25,-0.9999999999999931,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-06-26 16:00:00+00:00,2014-07-01 12:00:00+00:00,0.25,-0.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-06-27 08:00:00+00:00,2014-07-02 04:00:00+00:00,0.25,-1.0000000000000298,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-06-30 04:00:00+00:00,2014-07-01 08:00:00+00:00,0.25,-0.9999999999999977,guard:cooldown
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2014-06-30 16:00:00+00:00,2014-07-01 20:00:00+00:00,0.5,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2014-07-10 16:00:00+00:00,2014-07-14 08:00:00+00:00,0.25,-0.9999999999999942,guard:probe_in_flight
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,-1,2014-07-17 08:00:00+00:00,2014-07-17 10:00:00+00:00,0.1,-1.0000000000000102,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-19 20:00:00+00:00,2014-08-21 00:00:00+00:00,0.15,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-20 00:00:00+00:00,2014-08-21 00:00:00+00:00,0.15,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-20 04:00:00+00:00,2014-08-21 00:00:00+00:00,0.15,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-20 08:00:00+00:00,2014-08-21 04:00:00+00:00,0.15,3.0,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-20 12:00:00+00:00,2014-08-22 16:00:00+00:00,0.15,0.9419667454536261,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-08-21 04:00:00+00:00,2014-08-21 20:00:00+00:00,0.25,-1.0000000000000124,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-02 00:00:00+00:00,2014-09-02 12:00:00+00:00,0.25,3.0,guard:new_cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-02 04:00:00+00:00,2014-09-03 20:00:00+00:00,0.25,0.6574581423222817,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-02 08:00:00+00:00,2014-09-03 20:00:00+00:00,0.25,0.13989325632377209,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-02 12:00:00+00:00,2014-09-03 08:00:00+00:00,0.25,0.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-02 20:00:00+00:00,2014-09-03 12:00:00+00:00,0.25,-0.9999999999999775,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-08 20:00:00+00:00,2014-09-11 16:00:00+00:00,0.25,3.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-09 08:00:00+00:00,2014-09-16 08:00:00+00:00,0.25,2.507007675977943,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-09 20:00:00+00:00,2014-09-16 20:00:00+00:00,0.25,1.5394746776372226,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-10 12:00:00+00:00,2014-09-17 12:00:00+00:00,0.25,1.5598033433913474,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-11 08:00:00+00:00,2014-09-18 00:00:00+00:00,0.25,3.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-12 04:00:00+00:00,2014-09-18 04:00:00+00:00,0.25,3.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-17 20:00:00+00:00,2014-09-18 04:00:00+00:00,0.25,3.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-18 00:00:00+00:00,2014-09-23 12:00:00+00:00,0.25,0.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-18 04:00:00+00:00,2014-09-23 12:00:00+00:00,0.25,0.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-18 08:00:00+00:00,2014-09-19 12:00:00+00:00,0.25,0.0,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-19 04:00:00+00:00,2014-09-19 16:00:00+00:00,0.25,-1.0000000000000087,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-09-29 08:00:00+00:00,2014-09-29 16:00:00+00:00,0.25,-1.0000000000000022,guard:cooldown
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-10-01 04:00:00+00:00,2014-10-01 20:00:00+00:00,0.25,-1.0000000000000098,guard:cooldown
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,-1,2014-10-02 16:00:00+00:00,2014-10-03 16:00:00+00:00,0.4,2.5,symbol_cap
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2014-10-30 04:00:00+00:00,2014-10-31 08:00:00+00:00,0.25,3.0,guard:probe_in_flight
