symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,trade_id,risk_dollars,guard_reason,guard_multiplier,is_recovery_probe,equity_at_entry,open_risk_before_entry,open_risk_after_entry
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-05-09 20:00:00+00:00,2013-05-14 04:00:00+00:00,0.15,0.0,32,7.570348794222294,strong_or_audusd_protected,1.0,False,5046.899196148196,0.0,0.15
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-09 20:00:00+00:00,2013-05-13 04:00:00+00:00,0.25,3.0,33,12.61724799037049,warmup,1.0,False,5046.899196148196,0.15,0.4
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-05-10 04:00:00+00:00,2013-05-14 08:00:00+00:00,0.15,-1.0000000000000069,34,7.570348794222294,strong_or_audusd_protected,1.0,False,5046.899196148196,0.4,0.55
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-14 20:00:00+00:00,2013-05-20 16:00:00+00:00,0.25,0.23481338242105523,35,12.692951478312715,warmup,1.0,False,5077.1805913250855,0.0,0.25
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2013-05-15 00:00:00+00:00,2013-05-21 00:00:00+00:00,0.25,1.0004834832843423,36,12.692951478312715,strong_or_audusd_protected,1.0,False,5077.1805913250855,0.25,0.5
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,-1,2013-05-16 01:00:00+00:00,2013-05-16 12:00:00+00:00,0.1,-0.0,37,5.077180591325086,warmup,1.0,False,5077.1805913250855,0.5,0.6
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-21 04:00:00+00:00,2013-05-21 12:00:00+00:00,0.25,-1.000000000000003,38,12.73215038625699,strong_or_audusd_protected,1.0,False,5092.860154502796,0.0,0.25
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-05-21 16:00:00+00:00,2013-05-23 20:00:00+00:00,0.2,-0.0,39,10.160256008233079,strong_or_audusd_protected,1.0,False,5080.128004116539,0.0,0.2
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-22 08:00:00+00:00,2013-05-23 04:00:00+00:00,0.25,2.0,40,12.700320010291348,strong_or_audusd_protected,1.0,False,5080.128004116539,0.2,0.45
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-05-22 08:00:00+00:00,2013-05-22 20:00:00+00:00,0.15,-0.0,41,7.620192006174808,strong_or_audusd_protected,1.0,False,5080.128004116539,0.45,0.6
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,-1,2013-05-22 12:00:00+00:00,2013-05-23 16:00:00+00:00,0.4,-0.0,42,20.320512016466157,strong_or_audusd_protected,1.0,False,5080.128004116539,0.6,1.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-22 20:00:00+00:00,2013-05-23 00:00:00+00:00,0.25,-0.9999999999999991,43,12.700320010291348,warmup,1.0,False,5080.128004116539,0.8500000000000001,1.1
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-24 04:00:00+00:00,2013-05-29 12:00:00+00:00,0.25,1.2817359353567992,44,12.732070810317076,strong_or_audusd_protected,1.0,False,5092.82832412683,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-05 04:00:00+00:00,2013-06-06 04:00:00+00:00,0.25,2.0,45,12.7728686920398,strong_or_audusd_protected,1.0,False,5109.1474768159205,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-07 04:00:00+00:00,2013-06-11 12:00:00+00:00,0.25,2.0,46,12.836733035500002,strong_or_audusd_protected,1.0,False,5134.6932142000005,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-12 08:00:00+00:00,2013-06-12 12:00:00+00:00,0.25,-1.000000000000006,47,12.9009167006775,strong_or_audusd_protected,1.0,False,5160.366680271,0.0,0.25
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-06-13 20:00:00+00:00,2013-06-14 12:00:00+00:00,0.15,-1.0000000000000202,48,7.721198645355483,strong_or_audusd_protected,1.0,False,5147.465763570322,0.0,0.15
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-28 04:00:00+00:00,2013-07-01 12:00:00+00:00,0.25,0.3657211719177788,49,12.849361412312417,strong_or_audusd_protected,1.0,False,5139.744564924967,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-07-02 04:00:00+00:00,2013-07-03 08:00:00+00:00,0.25,2.0,50,12.861109621097683,strong_or_audusd_protected,1.0,False,5144.443848439073,0.0,0.25
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-07-04 16:00:00+00:00,2013-07-09 16:00:00+00:00,0.5,3.0,51,25.85083033840634,strong_or_audusd_protected,1.0,False,5170.166067681268,0.0,0.5
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-07-05 16:00:00+00:00,2013-07-10 08:00:00+00:00,0.25,-0.9999999999999933,52,12.92541516920317,warmup,1.0,False,5170.166067681268,0.5,0.75
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-07-20 00:00:00+00:00,2013-07-22 04:00:00+00:00,0.15,-0.9999999999999856,53,7.852189715290925,strong_or_audusd_protected,1.0,False,5234.793143527284,0.0,0.15
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-07-31 16:00:00+00:00,2013-08-01 00:00:00+00:00,0.5,-0.9999999999999983,54,26.13470476905997,strong_or_audusd_protected,1.0,False,5226.9409538119935,0.0,0.5
