symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-10 00:00:00+00:00,2013-05-15 12:00:00+00:00,0.25,3.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-05-10 04:00:00+00:00,2013-05-14 08:00:00+00:00,0.15,-1.0000000000000069
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-10 04:00:00+00:00,2013-05-17 04:00:00+00:00,0.25,1.854808223654352
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-10 12:00:00+00:00,2013-05-14 12:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-10 16:00:00+00:00,2013-05-17 16:00:00+00:00,0.25,1.866390519511362
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-14 20:00:00+00:00,2013-05-20 16:00:00+00:00,0.25,0.23481338242105523
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2013-05-15 00:00:00+00:00,2013-05-21 00:00:00+00:00,0.25,1.0004834832843423
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-15 12:00:00+00:00,2013-05-15 16:00:00+00:00,0.25,-0.9999999999999923
EURUSD,EURUSD_SWING_RETEST,H1_BREAKOUT_RETEST,-1,2013-05-16 01:00:00+00:00,2013-05-16 12:00:00+00:00,0.1,-0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-17 20:00:00+00:00,2013-05-20 16:00:00+00:00,0.25,-0.9999999999999933
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-18 00:00:00+00:00,2013-05-23 08:00:00+00:00,0.25,0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-21 04:00:00+00:00,2013-05-21 12:00:00+00:00,0.25,-1.000000000000003
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-05-21 16:00:00+00:00,2013-05-23 20:00:00+00:00,0.2,-0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-22 08:00:00+00:00,2013-05-23 04:00:00+00:00,0.25,2.0
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,-1,2013-05-22 08:00:00+00:00,2013-05-22 20:00:00+00:00,0.15,-0.0
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,-1,2013-05-22 12:00:00+00:00,2013-05-23 16:00:00+00:00,0.4,-0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-05-22 20:00:00+00:00,2013-05-23 00:00:00+00:00,0.25,-0.9999999999999991
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-05-24 04:00:00+00:00,2013-05-29 12:00:00+00:00,0.25,1.2817359353567992
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-05 04:00:00+00:00,2013-06-06 04:00:00+00:00,0.25,2.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-07 04:00:00+00:00,2013-06-11 12:00:00+00:00,0.25,2.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-07 08:00:00+00:00,2013-06-11 16:00:00+00:00,0.25,2.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-11 04:00:00+00:00,2013-06-11 20:00:00+00:00,0.25,-0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-12 08:00:00+00:00,2013-06-12 12:00:00+00:00,0.25,-1.000000000000006
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-06-13 20:00:00+00:00,2013-06-14 12:00:00+00:00,0.15,-1.0000000000000202
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-06-28 04:00:00+00:00,2013-07-01 12:00:00+00:00,0.25,0.3657211719177788
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-07-02 04:00:00+00:00,2013-07-03 08:00:00+00:00,0.25,2.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-07-02 08:00:00+00:00,2013-07-04 00:00:00+00:00,0.25,2.0
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-07-04 16:00:00+00:00,2013-07-09 16:00:00+00:00,0.5,3.0
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,-1,2013-07-05 16:00:00+00:00,2013-07-09 00:00:00+00:00,0.5,-0.9999999999999937
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-07-05 16:00:00+00:00,2013-07-10 08:00:00+00:00,0.25,-0.9999999999999933
