time,event,equity,balance,peak,drawdown_percent,open_risk_percent,trade_id,engine_group,engine,symbol,risk_percent,admission_reason,pnl
2015-09-29T00:00:00+00:00,ENTRY,5646.047722145473,5646.047722145473,5885.002902154629,4.060408872893998,0.9,301.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-09-29T12:00:00+00:00,EXIT,5674.277960756201,5674.277960756201,5885.002902154629,3.5807109172584632,0.65,300.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,28.230238610727366
2015-10-02T16:00:00+00:00,EXIT,5687.648221237081,5687.648221237081,5885.002902154629,3.3535188376082505,0.15,299.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,13.370260480880594
2015-10-02T16:00:00+00:00,ENTRY,5687.648221237081,5687.648221237081,5885.002902154629,3.3535188376082505,0.2375,302.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.0875,v12_master_admitted,
2015-10-02T20:00:00+00:00,EXIT,5682.671529043499,5682.671529043499,5885.002902154629,3.4380845086253444,0.15,302.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,,,-4.976692193582495
2015-10-05T12:00:00+00:00,EXIT,5674.20245746028,5674.20245746028,5885.002902154629,3.581993895316008,0.0,301.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.469071583218073
2015-10-09T16:00:00+00:00,ENTRY,5674.20245746028,5674.20245746028,5885.002902154629,3.581993895316008,0.25,303.0,V12,EURUSD_SWING_CORE,EURUSD,0.25,v12_master_admitted,
2015-10-09T20:00:00+00:00,ENTRY,5674.20245746028,5674.20245746028,5885.002902154629,3.581993895316008,0.5,304.0,V12,EURUSD_SWING_CORE,EURUSD,0.25,v12_master_admitted,
2015-10-15T16:00:00+00:00,EXIT,5681.275656555605,5681.275656555605,5885.002902154629,3.461803655601175,0.25,303.0,V12,EURUSD_SWING_CORE,EURUSD,,,7.073199095324362
2015-10-15T16:00:00+00:00,EXIT,5685.356900992461,5685.356900992461,5885.002902154629,3.3924537418507086,0.0,304.0,V12,EURUSD_SWING_CORE,EURUSD,,,4.0812444368566325
2015-10-28T08:00:00+00:00,ENTRY,5685.356900992461,5685.356900992461,5885.002902154629,3.3924537418507086,0.15,305.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-10-28T20:00:00+00:00,EXIT,5676.828865640972,5676.828865640972,5885.002902154629,3.537365061237939,0.0,305.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.528035351488628
2015-10-29T08:00:00+00:00,ENTRY,5676.828865640972,5676.828865640972,5885.002902154629,3.537365061237939,0.15,306.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-10-29T20:00:00+00:00,EXIT,5668.313622342511,5668.313622342511,5885.002902154629,3.6820590136460813,0.0,306.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.51524329846144
2015-11-06T16:00:00+00:00,ENTRY,5668.313622342511,5668.313622342511,5885.002902154629,3.6820590136460813,0.5,307.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.5,v12_master_admitted,
2015-11-09T16:00:00+00:00,EXIT,5639.972054230798,5639.972054230798,5885.002902154629,4.16364871857786,0.0,307.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-28.34156811171306
2015-11-24T16:00:00+00:00,ENTRY,5639.972054230798,5639.972054230798,5885.002902154629,4.16364871857786,0.5,308.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.5,v12_master_admitted,
2015-11-25T12:00:00+00:00,ENTRY,5639.972054230798,5639.972054230798,5885.002902154629,4.16364871857786,0.65,309.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-11-25T20:00:00+00:00,EXIT,5631.512096149451,5631.512096149451,5885.002902154629,4.307403245499998,0.5,309.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.459958081346121
2015-11-26T00:00:00+00:00,EXIT,5603.312235878297,5603.312235878297,5885.002902154629,4.786585001907119,0.0,308.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-28.199860271154265
2015-11-28T00:00:00+00:00,ENTRY,5603.312235878297,5603.312235878297,5885.002902154629,4.786585001907119,0.15,310.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-12-01T04:00:00+00:00,EXIT,5594.907267524479,5594.907267524479,5885.002902154629,4.929405124404266,0.0,310.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-8.40496835381743
2015-12-01T04:00:00+00:00,ENTRY,5594.907267524479,5594.907267524479,5885.002902154629,4.929405124404266,0.25,311.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2015-12-01T20:00:00+00:00,EXIT,5622.881803862101,5622.881803862101,5885.002902154629,4.454052150026288,0.0,311.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,27.974536337622393
2015-12-02T16:00:00+00:00,ENTRY,5622.881803862101,5622.881803862101,5885.002902154629,4.454052150026288,0.4,312.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.4,v12_master_admitted,
2015-12-02T16:00:00+00:00,ENTRY,5622.881803862101,5622.881803862101,5885.002902154629,4.454052150026288,0.48750000000000004,313.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,0.0875,v12_master_admitted,
2015-12-03T16:00:00+00:00,EXIT,5622.881803862101,5622.881803862101,5885.002902154629,4.454052150026288,0.0875,312.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-0.0
2015-12-03T16:00:00+00:00,EXIT,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.0,313.0,V12,USDJPY_SAFE_HAVEN_BREAKOUT,USDJPY,,,-4.920021578379441
2015-12-17T16:00:00+00:00,ENTRY,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.15,314.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-12-18T16:00:00+00:00,ENTRY,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.3,315.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2015-12-21T20:00:00+00:00,ENTRY,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.44999999999999996,316.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2015-12-22T16:00:00+00:00,ENTRY,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.6,317.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2015-12-22T20:00:00+00:00,ENTRY,5617.961782283722,5617.961782283722,5885.002902154629,4.537654854395016,0.75,318.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2015-12-23T16:00:00+00:00,EXIT,5620.5535561986135,5620.5535561986135,5885.002902154629,4.4936145377123715,0.6,314.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,2.591773914891673
2015-12-23T16:00:00+00:00,EXIT,5620.5535561986135,5620.5535561986135,5885.002902154629,4.4936145377123715,0.44999999999999996,315.0,V12,GBPUSD_SWING_RETEST,GBPUSD,,,-0.0
2015-12-23T16:00:00+00:00,EXIT,5612.126613525188,5612.126613525188,5885.002902154629,4.636808055430776,0.3,318.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-8.426942673425566
2015-12-24T16:00:00+00:00,EXIT,5612.126613525188,5612.126613525188,5885.002902154629,4.636808055430776,0.15,317.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2015-12-29T00:00:00+00:00,EXIT,5622.570088172665,5622.570088172665,5885.002902154629,4.459348930582195,0.0,316.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,10.443474647477258
2015-12-29T04:00:00+00:00,ENTRY,5622.570088172665,5622.570088172665,5885.002902154629,4.459348930582195,0.25,319.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2015-12-29T16:00:00+00:00,ENTRY,5622.570088172665,5622.570088172665,5885.002902154629,4.459348930582195,0.4,320.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2015-12-30T20:00:00+00:00,EXIT,5614.136233040406,5614.136233040406,5885.002902154629,4.602659907186321,0.25,320.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-8.43385513225909
