trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
2253,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,-1,2024-01-24 10:12:00+00:00,2024-01-24 10:56:00+00:00,0.45,66.03395319778292,1.25,14674.211821729537,2.6798038852246924,0.0,0.0,ict_active,82.54244149722865,14674.211821729537,14756.754263226767,2.1323777820790757
2254,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-24 11:15:00+00:00,2024-01-24 11:39:00+00:00,0.45,66.40539418452046,-1.0,14756.754263226767,2.1323777820790757,0.0,0.0,ict_active,-66.40539418452046,14756.754263226767,14690.348869042245,2.572782082059726
2255,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-24 15:02:00+00:00,2024-01-24 15:26:00+00:00,0.45,66.1065699106901,-1.0,14690.348869042245,2.572782082059726,0.0,0.0,ict_active,-66.1065699106901,14690.348869042245,14624.242299131556,3.0112045626904522
2256,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,-1,2024-01-24 16:16:00+00:00,2024-01-24 16:40:00+00:00,0.45,65.809090346092,-0.5200000000010186,14624.242299131556,3.0112045626904522,0.0,0.0,ict_active,-34.22072698003488,14624.242299131556,14590.021572151521,3.2381583440141997
2257,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,-1,2024-01-24 17:37:00+00:00,2024-01-24 18:21:00+00:00,0.45,65.65509707468185,-1.0,14590.021572151521,3.2381583440141997,0.0,0.0,ict_active,-65.65509707468185,14590.021572151521,14524.36647507684,3.6735866314661316
2258,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-25 08:56:00+00:00,2024-01-25 09:20:00+00:00,0.45,65.35964913784578,-0.0399999999991268,14524.36647507684,3.6735866314661316,0.0,0.0,ict_active,-2.614385965456759,14524.36647507684,14521.752089111384,3.690925385872088
2259,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-25 09:56:00+00:00,2024-01-25 10:20:00+00:00,0.45,65.34788440100122,1.2,14521.752089111384,3.690925385872088,0.0,0.0,ict_active,78.41746128120147,14521.752089111384,14600.169550392586,3.170856382955794
2260,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-25 11:21:00+00:00,2024-01-25 11:45:00+00:00,0.45,65.70076297676664,1.2,14600.169550392586,3.170856382955794,0.0,0.0,ict_active,78.84091557211997,14600.169550392586,14679.010465964706,2.6479790074237535
2261,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,-1,2024-01-25 12:38:00+00:00,2024-01-25 13:02:00+00:00,0.45,66.05554709684117,1.2,14679.010465964706,2.6479790074237535,0.0,0.0,ict_active,79.2666565162094,14679.010465964706,14758.277122480915,2.122278094063845
2262,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-01-25 15:16:00+00:00,2024-01-25 15:40:00+00:00,0.45,66.41224705116412,1.2,14758.277122480915,2.122278094063845,0.0,0.0,ict_active,79.69469646139693,14758.277122480915,14837.971818942311,1.5937383957717943
