engine,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,setup,risk_percent,position_size,risk_dollars,r_multiple,pnl,equity_before,equity_after,peak_before,peak_after,drawdown_before,drawdown_after,guard_reason,guard_multiplier,is_recovery_probe,exit_reason,engine_group
USDJPY_SAFE_HAVEN_BREAKOUT,201,USDJPY,BUY,2014-10-29 20:00:00+00:00,,2014-10-31 08:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.0875,,4.923601637339726,3.0,14.770804912019177,5626.973299816829,5641.7441047288485,5666.5270479153,5666.5270479153,0.6980245177338749,0.4373568320929254,recovery_probe,0.35,True,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,202,GBPUSD,SELL,2014-10-31 00:00:00+00:00,,2014-11-03 12:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,8.440459949725243,-0.0,-0.0,5641.7441047288485,5641.7441047288485,5666.5270479153,5666.5270479153,0.4373568320929254,0.4373568320929254,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,203,USDJPY,BUY,2014-10-31 08:00:00+00:00,,2014-11-03 12:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.10436026182212,3.0,42.31308078546636,5641.7441047288485,5684.057185514315,5666.5270479153,5684.057185514315,0.4373568320929254,0.0,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_CORE,204,EURUSD,SELL,2014-10-31 16:00:00+00:00,,2014-11-03 12:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.25,,14.10436026182212,-0.0,-0.0,5684.057185514315,5684.057185514315,5684.057185514315,5684.057185514315,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_CORE,205,EURUSD,SELL,2014-11-03 04:00:00+00:00,,2014-11-04 20:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.25,,14.10436026182212,-1.000000000000004,-14.104360261822178,5684.057185514315,5669.952825252493,5684.057185514315,5684.057185514315,0.0,0.2481389578163744,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,206,USDJPY,BUY,2014-11-03 12:00:00+00:00,,2014-11-04 08:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.210142963785788,0.0,0.0,5684.057185514315,5684.057185514315,5684.057185514315,5684.057185514315,0.0,0.0,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,207,GBPUSD,SELL,2014-11-03 16:00:00+00:00,,2014-11-05 16:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,22.73622874205726,0.2269648146622459,5.160323942559456,5669.952825252493,5675.113149195053,5684.057185514315,5684.057185514315,0.2481389578163744,0.1573530319514762,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,208,AUDUSD,SELL,2014-11-05 08:00:00+00:00,,2014-11-05 16:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,14.174882063131234,2.0,28.349764126262468,5675.113149195053,5703.462913321315,5684.057185514315,5703.462913321315,0.1573530319514762,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,209,USDJPY,BUY,2014-11-05 12:00:00+00:00,,2014-11-06 12:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.174882063131234,0.0,0.0,5703.462913321315,5703.462913321315,5703.462913321315,5703.462913321315,0.0,0.0,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,210,GBPUSD,SELL,2014-11-06 12:00:00+00:00,,2014-11-07 12:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,22.81385165328526,2.5,57.03462913321314,5703.462913321315,5760.497542454528,5703.462913321315,5760.497542454528,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
AUDUSD_TREND_PULLBACK,211,AUDUSD,SELL,2014-11-11 08:00:00+00:00,,2014-11-11 20:00:00+00:00,,,,D1_H4_EMA_PULLBACK_04_08UTC,0.25,,14.40124385613632,-1.0000000000000135,-14.401243856136515,5760.497542454528,5746.096298598392,5760.497542454528,5760.497542454528,0.0,0.2500000000000069,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
